MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932829,1.2110000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-4.0900000
MsgID.LOCAL_POSITION,26.6330000,0.1569338,0.0568873,-1.2119889
MsgID.LOCAL_VELOCITY,26.6330000,-0.0200984,0.0064006,-4.0981226
MsgID.GLOBAL_POSITION,0.0000000,-122.3957514,37.7932806,2.3500000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0200000,-4.5500000
MsgID.LOCAL_POSITION,26.8830000,-0.1014110,0.0427209,-2.3506470
MsgID.LOCAL_VELOCITY,26.8830000,-0.0341395,0.0206190,-4.5580468
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932815,3.4730000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0200000,-4.6700000
MsgID.LOCAL_POSITION,27.1320000,0.0032398,0.0500783,-3.4730721
MsgID.LOCAL_VELOCITY,27.1320000,-0.0189790,0.0263603,-4.6715074
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932826,4.6770000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0200000,-4.7500000
MsgID.LOCAL_POSITION,27.3830000,0.1262713,0.0578911,-4.6772428
MsgID.LOCAL_VELOCITY,27.3830000,-0.0148771,0.0287590,-4.7592692
MsgID.GLOBAL_POSITION,0.0000000,-122.3957512,37.7932815,5.8170000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0200000,-4.7300000
MsgID.LOCAL_POSITION,27.6330000,0.0047920,0.0652899,-5.8172846
MsgID.LOCAL_VELOCITY,27.6330000,-0.0317474,0.0270553,-4.7392149
MsgID.GLOBAL_POSITION,0.0000000,-122.3957512,37.7932813,7.0150000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0200000,-3.8600000
MsgID.LOCAL_POSITION,27.8830000,-0.0236521,0.0635307,-7.0157170
